Date,Open,High,Low,Close,Adj Close,Volume
2023-12-27,2231.393066,2392.608643,2215.140381,2378.739990,2378.739990,14161342927
2023-12-28,2380.200684,2445.017578,2338.703857,2347.566162,2347.566162,15660799060
2023-12-29,2346.843750,2386.004639,2262.975830,2300.690674,2300.690674,12536968996
2023-12-30,2300.399658,2322.021484,2270.011963,2292.065430,2292.065430,6888195427
2023-12-31,2291.945313,2318.512939,2261.394287,2281.471191,2281.471191,6871481744
2024-01-01,2282.870361,2352.327881,2267.018066,2352.327881,2352.327881,6906765990
2024-01-02,2352.593506,2431.212402,2348.892334,2355.836426,2355.836426,12910543630
2024-01-03,2355.981445,2385.117676,2113.925293,2210.761963,2210.761963,19332933581
2024-01-04,2210.529053,2294.608154,2204.865723,2269.038086,2269.038086,11044564896
2024-01-05,2269.409424,2276.764648,2209.537109,2268.647217,2268.647217,10860953290
2024-01-06,2269.540039,2271.359375,2219.781982,2241.624756,2241.624756,5970741680
2024-01-07,2242.012695,2257.127930,2211.562500,2222.865967,2222.865967,6490053615
2024-01-08,2222.857666,2358.815674,2171.993652,2333.032715,2333.032715,13830287095
2024-01-09,2332.868164,2369.641602,2243.219238,2344.827148,2344.827148,14891130716
2024-01-10,2344.923584,2626.976807,2341.943115,2582.103516,2582.103516,29042100476
2024-01-11,2584.171631,2687.779053,2567.993652,2619.619141,2619.619141,22575246883
2024-01-12,2619.177002,2710.421875,2460.925537,2524.460205,2524.460205,23623839263
2024-01-13,2522.933838,2589.079834,2498.594482,2576.597900,2576.597900,12250316867
2024-01-14,2578.003662,2578.332275,2470.424316,2472.241211,2472.241211,9405587417
2024-01-15,2471.666992,2550.769043,2470.820801,2511.363770,2511.363770,9700630000
2024-01-16,2510.627197,2613.566895,2500.003906,2587.691162,2587.691162,11063317095
2024-01-17,2587.044678,2592.737061,2508.432861,2528.369385,2528.369385,10441017520
2024-01-18,2528.593262,2546.263916,2426.135498,2467.018799,2467.018799,11900028080
2024-01-19,2468.688965,2501.305176,2414.710938,2489.498535,2489.498535,11405278376
2024-01-20,2489.847656,2489.847656,2456.095703,2469.589111,2469.589111,5297826161
2024-01-21,2469.798584,2479.760498,2452.377686,2453.913086,2453.913086,4578471955
2024-01-22,2454.987305,2463.447266,2303.502686,2310.826416,2310.826416,13923771728
2024-01-23,2310.951660,2348.031250,2167.282471,2240.686035,2240.686035,16182147521
2024-01-24,2241.749756,2261.384521,2197.656738,2233.561768,2233.561768,10134722960
2024-01-25,2233.969971,2240.380859,2173.686523,2217.710205,2217.710205,9302247037
2024-01-26,2217.441895,2280.383789,2196.140137,2267.199707,2267.199707,9975117607
2024-01-27,2267.319336,2282.544434,2252.385254,2267.885986,2267.885986,5144367230
2024-01-28,2268.192871,2306.898682,2242.683838,2257.208740,2257.208740,7296214994
2024-01-29,2256.995361,2320.027344,2237.711670,2317.064209,2317.064209,8948195551
2024-01-30,2317.435791,2388.870605,2298.281982,2344.493652,2344.493652,10173440062
2024-01-31,2343.558838,2349.611328,2264.443604,2282.544434,2282.544434,10807883277
2024-02-01,2282.175293,2309.842529,2243.571777,2303.824707,2303.824707,8895583113
2024-02-02,2303.706055,2323.053467,2282.230225,2308.038086,2308.038086,7186143091
2024-02-03,2307.980225,2327.346924,2293.538086,2296.038330,2296.038330,4647754021
2024-02-04,2296.116943,2309.011230,2272.304932,2289.546143,2289.546143,5438100035
2024-02-05,2289.205566,2334.676758,2270.067871,2298.888916,2298.888916,7277068110
2024-02-06,2298.955078,2389.826172,2296.788574,2372.201904,2372.201904,9520885493
